method,target,N,seed,fold,n_train,n_val,n_test,runtime_seconds,pearson,rmse,mae
no_prior_ridge,fluid_intelligence,200,1,2,136,24,40,0.8212707042694092,0.2899902811506333,4.990680042186166,4.147965781584155
ncr_contrastive,fluid_intelligence,200,1,3,136,24,40,21.020336866378784,0.1542220265273296,5.473285071564621,4.706493955987034
no_prior_ridge,fluid_intelligence,200,1,3,136,24,40,0.6059041023254395,0.1542220265273296,5.473285071564621,4.706493955987034
ncr_contrastive,fluid_intelligence,200,1,4,136,24,40,22.629523038864136,0.1452958160253842,4.241359704680949,3.629579359618639
no_prior_ridge,fluid_intelligence,200,1,4,136,24,40,1.065986156463623,0.1812863565422195,4.223260165524128,3.6006980164802984
ncr_contrastive,fluid_intelligence,200,2,0,136,24,40,23.00703525543213,0.0921646487847171,4.863714386673457,4.129340746793446
no_prior_ridge,fluid_intelligence,200,2,0,136,24,40,8.19630479812622,0.0921646487847168,4.863714386673458,4.129340746793446
ncr_contrastive,fluid_intelligence,200,2,1,136,24,40,10.69485640525818,0.2612741849127116,4.8375339010755685,3.767879267494157
no_prior_ridge,fluid_intelligence,200,2,1,136,24,40,2.08009672164917,0.2612741849127111,4.837533901075571,3.76787926749416
ncr_contrastive,fluid_intelligence,200,2,2,136,24,40,20.08963370323181,0.4129551608581007,4.801819892470045,4.113576347849069
no_prior_ridge,fluid_intelligence,200,2,2,136,24,40,0.6901631355285645,0.4129551608581005,4.801819892470045,4.11357634784907
ncr_contrastive,fluid_intelligence,200,2,3,136,24,40,22.70708990097046,0.2100416253628846,5.062587550807788,4.026951172992677
