model,prior,target,seed,fold,split_id,n_train,n_val,n_test,best_hidden,best_dropout,best_learning_rate,best_epoch,parameters,pearson,rmse,mae,runtime_seconds,I_XZ_final,I_ZY_final,probe_r2_final,bypass_alpha,selected_alpha,best_alpha1,best_alpha2,best_val_rmse
llm_gated,llm_wm,fluid_intelligence,2,2,seed02_fold02,280,50,82,16.0,0.5,0.003,16.0,61505.0,0.20858365433435866,5.508292006244673,4.361921612809344,145.01345777511597,2.2480340003967285,0.3663867712020874,,0.25,0.25,,,
llm_gated,llm_wm,fluid_intelligence,2,3,seed02_fold03,280,50,82,16.0,0.5,0.001,13.0,61505.0,0.2620830400390009,4.909525252826152,4.0982868613266366,107.48788166046143,2.030938148498535,0.4034641981124878,,1.0,1.0,,,
llm_gated,llm_wm,fluid_intelligence,2,4,seed02_fold04,280,50,82,32.0,0.2,0.003,12.0,213121.0,0.30858711840992853,4.685864703407458,4.0302239162165945,160.57601594924927,1.878373146057129,0.1950262188911438,,0.75,0.75,,,
llm_gated,llm_wm,fluid_intelligence,3,0,seed03_fold00,279,50,83,32.0,0.5,0.001,10.0,213121.0,0.20191025111905367,4.85457238610984,4.0319521570780195,138.7029664516449,2.4722609519958496,0.31169769167900085,,0.25,0.25,,,
llm_gated,llm_wm,fluid_intelligence,3,1,seed03_fold01,279,50,83,16.0,0.2,0.001,13.0,61505.0,0.20421804820732428,4.73235483307903,3.8860532806580323,110.04678249359131,2.778378486633301,0.5318862199783325,,0.5,0.5,,,
llm_gated,llm_wm,fluid_intelligence,3,2,seed03_fold02,280,50,82,16.0,0.2,0.001,12.0,61505.0,0.1453101036828064,5.110630580338217,4.174593088103504,125.28187966346741,2.327791213989258,0.4259929656982422,,0.25,0.25,,,
llm_gated,llm_wm,fluid_intelligence,3,3,seed03_fold03,280,50,82,32.0,0.2,0.003,11.0,213121.0,0.3425865263882164,4.804275174918381,3.961387657537693,134.54519367218018,1.9520485401153564,0.1840631514787674,,0.25,0.25,,,
llm_gated,llm_wm,fluid_intelligence,3,4,seed03_fold04,280,50,82,16.0,0.5,0.003,16.0,61505.0,0.15039397726019552,5.341762912640387,4.3383621820589395,132.06959295272827,1.8679261207580566,0.42636168003082275,,1.0,1.0,,,
llm_gated,llm_wm,fluid_intelligence,4,0,seed04_fold00,279,50,83,16.0,0.2,0.001,13.0,61505.0,0.31459193994975254,4.6008772563640274,3.905553450067359,112.23527312278748,2.266955614089966,0.4203893542289734,,0.75,0.75,,,
llm_gated,llm_wm,fluid_intelligence,4,1,seed04_fold01,279,50,83,16.0,0.2,0.003,14.0,61505.0,0.1924842104615997,4.9745553147725285,4.051706796669098,125.8109769821167,2.123089551925659,0.6594424843788147,,0.5,0.5,,,
llm_gated,llm_wm,fluid_intelligence,4,2,seed04_fold02,280,50,82,16.0,0.5,0.001,10.0,61505.0,0.2613239126954052,4.748605277623225,3.9402311720499177,105.37775492668152,1.9368321895599365,0.3609774708747864,,0.25,0.25,,,
