method_id,method_name,method_family,seed,fold,split_id,n_train,n_val,n_test,best_hidden,best_dropout,best_learning_rate,best_epoch,best_val_rmse,parameters,runtime_seconds,device,group_aware,pearson,rmse,mae,prior_alignment_pearson,prior_alignment_spearman,prior_alignment_top10_jaccard
M2_RANDOM,Random-prior Meta-GAT,prior_gated_gat,4,0,seed04_fold00,279,50,83,32,0.5,0.001,14,4.652159690856934,35203,19.407197952270508,cuda,False,0.21325201686729314,4.744922017402061,4.059929388115205,0.6687302088235221,0.7993541690693114,0.1111111111111111
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),prior_gated_gat,4,1,seed04_fold01,279,50,83,16,0.2,0.001,33,4.265503406524658,16323,22.642049074172974,cuda,False,0.11708787669727524,4.908361661454841,4.163877280361681,0.6398229700823339,0.6496229146602098,0.05263157894736842
M2_SHUFFLED,Shuffled-prior Meta-GAT,prior_gated_gat,4,1,seed04_fold01,279,50,83,16,0.2,0.001,32,4.25645112991333,16323,23.19283151626587,cuda,False,0.0695496048280443,5.037761146191719,4.278276110269937,0.6452439808582344,0.6655040397351218,0.25
M2_RANDOM,Random-prior Meta-GAT,prior_gated_gat,4,1,seed04_fold01,279,50,83,16,0.2,0.001,33,4.2226667404174805,16323,21.37920331954956,cuda,False,0.10407991332082325,4.954516021775955,4.195579356457814,0.4928530801602707,0.6330527044170223,0.1111111111111111
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),prior_gated_gat,4,2,seed04_fold02,280,50,82,16,0.5,0.001,30,4.230044364929199,16323,21.610132932662964,cuda,False,0.3003345763223533,5.002606061566136,4.2806232498913275,0.8283256342675434,0.7265814484351761,0.17647058823529413
M2_SHUFFLED,Shuffled-prior Meta-GAT,prior_gated_gat,4,2,seed04_fold02,280,50,82,16,0.5,0.001,36,4.174804210662842,16323,22.90798544883728,cuda,False,0.38112513656412766,4.845993679449846,4.021934462756645,0.7444321568207946,0.723654926644642,0.25
M2_RANDOM,Random-prior Meta-GAT,prior_gated_gat,4,2,seed04_fold02,280,50,82,32,0.5,0.003,10,4.140143394470215,35203,21.453137159347534,cuda,False,0.38899356567378696,4.823690959936448,4.013566493988037,0.6818568675525541,0.8167454734171377,0.17647058823529413
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),prior_gated_gat,4,3,seed04_fold03,280,50,82,16,0.2,0.001,32,4.790365219116211,16323,18.765461921691895,cuda,False,0.3240046816780378,4.731560356408108,4.005820576737567,0.8500041255813183,0.7372837286350302,0.25
M2_SHUFFLED,Shuffled-prior Meta-GAT,prior_gated_gat,4,3,seed04_fold03,280,50,82,16,0.2,0.001,31,4.692556858062744,16323,20.07772970199585,cuda,False,0.3339419969305649,4.716833414084617,3.9751794861584173,0.7878531116808284,0.7292482788722839,0.25
M2_RANDOM,Random-prior Meta-GAT,prior_gated_gat,4,3,seed04_fold03,280,50,82,16,0.2,0.001,31,4.744143962860107,16323,19.14619255065918,cuda,False,0.32755584468160914,4.751715556242589,3.9856603087448494,0.6923879359510761,0.8119248068273556,0.25
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),prior_gated_gat,4,4,seed04_fold04,280,50,82,16,0.5,0.003,11,4.5427680015563965,16323,20.304352283477783,cuda,False,0.29644937328042725,4.4205065471337495,3.708383420618569,0.8264204652643761,0.7236249622577081,0.17647058823529413
M2_SHUFFLED,Shuffled-prior Meta-GAT,prior_gated_gat,4,4,seed04_fold04,280,50,82,16,0.5,0.003,11,4.575080871582031,16323,20.462260723114014,cuda,False,0.31657194132858385,4.4013352820235845,3.67911717949844,0.7474126333561453,0.7225961849729812,0.25
M2_RANDOM,Random-prior Meta-GAT,prior_gated_gat,4,4,seed04_fold04,280,50,82,16,0.5,0.003,13,4.514500141143799,16323,19.55831742286682,cuda,False,0.30303620682344357,4.41983169909725,3.704366311794374,0.6358228212868694,0.7807942182754777,0.1111111111111111
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),prior_gated_gat,5,0,seed05_fold00,279,50,83,16,0.2,0.003,11,4.749151229858398,16323,17.84070897102356,cuda,False,0.2947044842782768,4.600991768001163,3.805337986314153,0.8009276201646705,0.7175371976456587,0.17647058823529413
M2_SHUFFLED,Shuffled-prior Meta-GAT,prior_gated_gat,5,0,seed05_fold00,279,50,83,32,0.2,0.001,15,4.764934539794922,35203,18.18160653114319,cuda,False,0.3011683547250714,4.560651338295375,3.698155403137207,0.6582664113243821,0.7025699863722275,0.25
M2_RANDOM,Random-prior Meta-GAT,prior_gated_gat,5,0,seed05_fold00,279,50,83,32,0.2,0.001,15,4.757472038269043,35203,17.887370347976685,cuda,False,0.3153374662147881,4.540948914475935,3.680690007037427,0.4835124865457909,0.6739245761734518,0.1111111111111111
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),prior_gated_gat,5,1,seed05_fold01,279,50,83,16,0.5,0.001,23,4.753142833709717,16323,17.565701246261597,cuda,False,0.400177333126557,4.657876358664775,4.0387365961649335,0.8354029450184801,0.7257224693430739,0.17647058823529413
M2_SHUFFLED,Shuffled-prior Meta-GAT,prior_gated_gat,5,1,seed05_fold01,279,50,83,32,0.5,0.001,18,4.668185710906982,35203,19.28111743927002,cuda,False,0.37352060702102596,4.633866760061382,3.9920286040708244,0.7825096832816916,0.7308813379601758,0.25
M2_RANDOM,Random-prior Meta-GAT,prior_gated_gat,5,1,seed05_fold01,279,50,83,32,0.5,0.001,16,4.7185893058776855,35203,18.384873151779175,cuda,False,0.3776114655517333,4.647622960711379,3.992433881185141,0.6871656660246201,0.8102564102564103,0.17647058823529413
