model,prior,target,seed,fold,split_id,n_train,n_val,n_test,best_hidden,best_dropout,best_learning_rate,best_epoch,parameters,pearson,rmse,mae,runtime_seconds,I_XZ_final,I_ZY_final,probe_r2_final,bypass_alpha,best_alpha1,best_alpha2,best_val_rmse
llm_gated,llm_fluid,fluid_intelligence,8,4,seed08_fold04,280,50,82,16.0,0.5,0.003,18.0,61507.0,0.30139426628434124,5.3351379889124635,4.1685849399101444,107.36156916618347,1.625365972518921,0.5147048830986023,,0.5030969679355621,,,
llm_gated,llm_fluid,fluid_intelligence,9,0,seed09_fold00,279,50,83,16.0,0.2,0.003,12.0,61507.0,0.14294441574540534,5.694411189374179,4.621115833879953,116.68962931632996,1.8696644306182861,0.4155339300632477,,0.5032794177532196,,,
llm_gated,llm_fluid,fluid_intelligence,9,1,seed09_fold01,279,50,83,16.0,0.2,0.003,19.0,61507.0,0.1491915312610991,5.545448985109091,4.406560185443924,113.84320044517517,2.1838440895080566,0.6001301407814026,,0.4984315186738968,,,
llm_gated,llm_fluid,fluid_intelligence,9,2,seed09_fold02,280,50,82,32.0,0.5,0.003,10.0,213123.0,0.25149628829101933,4.637525175252244,3.928673290624851,101.25459432601929,2.003002166748047,0.383328914642334,,0.5038339197635651,,,
llm_gated,llm_fluid,fluid_intelligence,9,3,seed09_fold03,280,50,82,16.0,0.5,0.001,13.0,61507.0,0.2531364741018728,4.921661940001147,4.1100563421482,86.71188521385193,2.1421637535095215,0.43328383564949036,,0.4981583058834076,,,
llm_gated,llm_fluid,fluid_intelligence,9,4,seed09_fold04,280,50,82,32.0,0.5,0.003,18.0,213123.0,0.1754973063541406,5.369407085898132,4.570414345438888,103.40774917602539,1.9341185092926025,0.34013330936431885,,0.5052246153354645,,,
llm_gated,random_control,fluid_intelligence,0,0,seed00_fold00,279,50,83,16.0,0.5,0.001,14.0,61507.0,0.22258962354943856,4.3733182321581925,3.5436747562454407,114.41793775558472,2.5859971046447754,0.3708062171936035,,0.5015271008014679,,,
llm_gated,random_control,fluid_intelligence,0,1,seed00_fold01,279,50,83,16.0,0.5,0.001,10.0,61507.0,0.23809862816651362,4.958757138855364,4.1100523960159485,87.54290509223938,2.5431482791900635,0.3827415108680725,,0.5016774535179138,,,
llm_gated,random_control,fluid_intelligence,0,2,seed00_fold02,280,50,82,32.0,0.5,0.001,10.0,213123.0,0.1381555885356109,5.590774630142135,4.7871316700446895,100.17409205436707,2.0503714084625244,0.4067046046257019,,0.5003200173377991,,,
llm_gated,random_control,fluid_intelligence,0,3,seed00_fold03,280,50,82,32.0,0.2,0.001,18.0,213123.0,0.2763825363317828,4.846536033764048,3.884034936021014,109.0056049823761,2.304279327392578,0.5023071765899658,,0.4991396516561508,,,
llm_gated,random_control,fluid_intelligence,0,4,seed00_fold04,280,50,82,32.0,0.5,0.003,11.0,213123.0,0.2903467993086889,5.009827133957113,4.059346268816692,78.336989402771,2.1846189498901367,0.3032792806625366,,0.5040262043476105,,,
llm_gated,random_control,fluid_intelligence,1,0,seed01_fold00,279,50,83,32.0,0.2,0.003,16.0,213123.0,0.040351932008555635,5.467034895833286,4.3124069420688125,105.61372423171997,2.470600128173828,0.4518009126186371,,0.5031379461288452,,,
llm_gated,random_control,fluid_intelligence,1,1,seed01_fold01,279,50,83,16.0,0.2,0.001,13.0,61507.0,0.26169900309954297,4.707358866130139,4.031687288399202,90.92239451408386,1.9553536176681519,0.356399267911911,,0.5006295293569565,,,
llm_gated,random_control,fluid_intelligence,1,2,seed01_fold02,280,50,82,32.0,0.5,0.003,12.0,213123.0,0.22971402314275013,5.493470856562728,4.637314598734786,91.17409634590149,1.5669524669647217,0.40735697746276855,,0.5045848190784454,,,
llm_gated,random_control,fluid_intelligence,1,3,seed01_fold03,280,50,82,32.0,0.5,0.001,28.0,213123.0,0.11636630013594794,6.0794199594174465,4.884034645266649,145.07497429847717,2.419325351715088,0.4248209595680237,,0.498931422829628,,,
llm_gated,random_control,fluid_intelligence,1,4,seed01_fold04,280,50,82,16.0,0.2,0.001,26.0,61507.0,0.2667615541482598,5.29041581579471,4.166460025601271,147.14807319641113,1.9548689126968384,0.5779998302459717,,0.5042939484119415,,,
llm_gated,random_control,fluid_intelligence,2,0,seed02_fold00,279,50,83,32.0,0.5,0.001,11.0,213123.0,0.2525323454548161,5.13565894182022,4.343804152615099,102.90106320381165,2.2573318481445312,0.35138988494873047,,0.5003098547458649,,,
llm_gated,random_control,fluid_intelligence,2,1,seed02_fold01,279,50,83,16.0,0.5,0.003,18.0,61507.0,0.25614279251076155,5.097352633032902,4.255263156201466,124.9832763671875,1.7699390649795532,0.5374279022216797,,0.5057587921619415,,,
llm_gated,random_control,fluid_intelligence,2,2,seed02_fold02,280,50,82,32.0,0.5,0.003,19.0,213123.0,0.20741173836738208,5.176027600145758,4.110699234939203,125.79720044136047,1.918393850326538,0.33233606815338135,,0.4968026727437973,,,
