target,seed,fold,prior_type,selected_variant,selected_alpha,selected_eta,inner_pearson
fluid_intelligence,8,1,random,topk_0.05,1000000.0,0.0,0.36025958851343454
fluid_intelligence,8,2,matched,topk_0.05,1000000.0,0.0,0.30944443130296273
fluid_intelligence,8,2,unrelated,pca_64,1000000.0,0.75,0.31776061077428724
fluid_intelligence,8,2,shuffled,topk_0.05,1000000.0,0.0,0.30944443130296273
fluid_intelligence,8,2,random,topk_0.05,1000000.0,0.0,0.30944443130296273
fluid_intelligence,8,3,matched,topk_0.05,10000.0,0.0,0.3182619891414636
fluid_intelligence,8,3,unrelated,topk_0.05,1000000.0,0.0,0.3182619891414636
fluid_intelligence,8,3,shuffled,topk_0.05,1000000.0,0.0,0.3182619891414636
fluid_intelligence,8,3,random,pca_8,100.0,0.0,0.31895134806613185
fluid_intelligence,8,4,matched,topk_0.05,1000000.0,0.0,0.3438973653973411
fluid_intelligence,8,4,unrelated,topk_0.05,1000000.0,0.0,0.3438973653973411
fluid_intelligence,8,4,shuffled,topk_0.05,1000000.0,0.0,0.3438973653973411
fluid_intelligence,8,4,random,topk_0.05,10000.0,0.0,0.3438973653973411
fluid_intelligence,9,0,matched,topk_0.05,1000000.0,0.0,0.35235500483943977
fluid_intelligence,9,0,unrelated,topk_0.05,1000000.0,0.0,0.35235500483943977
fluid_intelligence,9,0,shuffled,topk_0.05,1000000.0,0.0,0.35235500483943977
fluid_intelligence,9,0,random,topk_0.05,1000000.0,0.0,0.35235500483943977
fluid_intelligence,9,1,matched,topk_0.2,10000.0,0.0,0.2764139106005144
fluid_intelligence,9,1,unrelated,topk_0.05,10000.0,0.0,0.27638566214366467
fluid_intelligence,9,1,shuffled,weighted_0.5,10000.0,0.0,0.28071745414665494
fluid_intelligence,9,1,random,topk_0.05,10000.0,0.0,0.27638566214366467
fluid_intelligence,9,2,matched,topk_0.05,1000000.0,0.0,0.25758623193311847
fluid_intelligence,9,2,unrelated,pca_32,1000000.0,0.0,0.2626659509716874
fluid_intelligence,9,2,shuffled,topk_0.05,1000000.0,0.0,0.25758623193311847
fluid_intelligence,9,2,random,topk_0.05,1000000.0,0.0,0.25758623193311847
fluid_intelligence,9,3,matched,topk_0.05,1000000.0,0.0,0.26060935553952774
fluid_intelligence,9,3,unrelated,topk_0.05,1000000.0,0.0,0.26060935553952774
fluid_intelligence,9,3,shuffled,topk_0.05,1000000.0,0.0,0.26060935553952774
fluid_intelligence,9,3,random,topk_0.05,1000000.0,0.0,0.26060935553952774
fluid_intelligence,9,4,matched,pca_64,100.0,0.75,0.3104202166340885
fluid_intelligence,9,4,unrelated,pca_16,10000.0,0.0,0.3114023116442218
fluid_intelligence,9,4,shuffled,topk_0.05,1000000.0,0.0,0.30499007766184444
fluid_intelligence,9,4,random,topk_0.05,1000000.0,0.0,0.30499007766184444
working_memory,0,0,matched,topk_0.05,1000000.0,0.0,0.21323805112263694
working_memory,0,0,unrelated,topk_0.05,1000000.0,0.0,0.21323805112263694
working_memory,0,0,shuffled,topk_0.05,1000000.0,0.0,0.21323805112263694
working_memory,0,0,random,topk_0.05,1000000.0,0.0,0.21323805112263694
working_memory,0,1,matched,topk_0.05,1000000.0,0.0,0.09355360174546301
working_memory,0,1,unrelated,pca_64,1000000.0,0.0,0.09861403503705828
working_memory,0,1,shuffled,pca_8,0.01,0.0,0.10336722063467133
working_memory,0,1,random,topk_0.05,1000000.0,0.0,0.09355360174546301
working_memory,0,2,matched,topk_0.05,1000000.0,0.0,0.23482855209242331
working_memory,0,2,unrelated,topk_0.05,1000000.0,0.0,0.23482855209242331
working_memory,0,2,shuffled,pca_8,0.01,0.5,0.2455585710959246
working_memory,0,2,random,topk_0.05,1000000.0,0.0,0.23482855209242331
working_memory,0,3,matched,topk_0.05,1000000.0,0.0,0.18282108243900005
working_memory,0,3,unrelated,topk_0.05,10000.0,0.0,0.18282108243900005
working_memory,0,3,shuffled,topk_0.05,1000000.0,0.0,0.18282108243900005
working_memory,0,3,random,topk_0.05,1000000.0,0.0,0.18282108243900005
working_memory,0,4,matched,topk_0.05,10000.0,0.0,0.1546126670146443
working_memory,0,4,unrelated,weighted_1.0,10000.0,0.0,0.1714422691746471
working_memory,0,4,shuffled,topk_0.05,10000.0,0.0,0.1546126670146443
working_memory,0,4,random,pca_32,100.0,1.0,0.16768538422534746
working_memory,1,0,matched,topk_0.2,1000000.0,0.0,0.1099490060150686
working_memory,1,0,unrelated,topk_0.05,1000000.0,0.0,0.10622729751232901
working_memory,1,0,shuffled,pca_32,1000000.0,0.0,0.12246999312456669
working_memory,1,0,random,topk_0.05,10000.0,0.0,0.10622729751232901
working_memory,1,1,matched,topk_0.05,1000000.0,0.0,0.2823708510245489
working_memory,1,1,unrelated,topk_0.05,1000000.0,0.0,0.2823708510245489
working_memory,1,1,shuffled,topk_0.05,1000000.0,0.0,0.2823708510245489
working_memory,1,1,random,topk_0.05,1000000.0,0.0,0.2823708510245489
working_memory,1,2,matched,topk_0.05,1000000.0,0.0,0.2443964297773934
working_memory,1,2,unrelated,topk_0.05,1000000.0,0.0,0.2443964297773934
working_memory,1,2,shuffled,topk_0.05,1000000.0,0.0,0.2443964297773934
working_memory,1,2,random,topk_0.05,1000000.0,0.0,0.2443964297773934
working_memory,1,3,matched,topk_0.05,1000000.0,0.0,0.1435988426942569
