experiment_id,seed,pearson,rmse,mae,reference_alignment_node_pearson,reference_alignment_module_pearson,reference_alignment_edge_diagonal_pearson,alignment_node_pearson,alignment_module_pearson,alignment_edge_diagonal_pearson
E4,2,0.09206068366765974,4.960043430328369,4.117819929122925,0.5997305393218995,0.949932312965393,0.6148315072059631,,0.949932312965393,
E4,3,0.176791700720787,4.926627349853516,4.114399147033692,0.6999500751495361,0.9876356601715088,0.7091883301734925,,0.9876356601715088,
E4,4,0.14966036975383754,5.016760158538818,4.149547863006592,0.6629433393478393,0.9750616431236268,0.6738071918487549,,0.9750616431236268,
E4,5,0.13961006850004193,4.935433292388916,4.096920537948608,0.6549899578094482,0.9554370760917663,0.666914427280426,,0.9554370760917663,
E4,6,0.14721539132297035,4.869319915771484,4.08670825958252,0.6088779211044312,0.9673762083053589,0.621666693687439,,0.9673762083053589,
E4,7,0.15013324245810505,4.903973865509033,4.122243404388428,0.6806393980979919,0.9607131838798523,0.6940841555595398,,0.9607131838798523,
E4,8,0.17771168351173397,4.866374397277832,4.105786085128784,0.6435892820358277,0.9804050087928772,0.6576116919517517,,0.9804050087928772,
E4,9,0.15601980686187739,4.958684349060059,4.151127862930298,0.680826473236084,0.9514678955078125,0.6921364545822144,,0.9514678955078125,
E5,0,0.09774247258901596,4.927682113647461,4.11314640045166,-0.35568904876708984,-0.6443460345268249,-0.36082838773727416,,0.9384296894073486,
E5,1,0.07800260148942469,5.114822292327881,4.350940990447998,-0.3518950283527374,-0.6013207077980042,-0.3544431567192078,,0.9209522008895874,
E5,2,0.11050939783453936,5.024045181274414,4.138681173324585,-0.3787738740444183,-0.6566687107086182,-0.3865293741226196,,0.9371508479118347,
E5,3,0.16625493019819254,4.978350067138672,4.137766170501709,-0.39867548644542694,-0.6807601094245911,-0.4043973445892334,,0.9554277658462524,
E5,4,0.1419638447463512,5.0387084007263185,4.182140302658081,-0.23557304739952084,-0.639768373966217,-0.2416921854019165,,0.9881927490234375,
E5,5,0.1309021487832069,4.970559787750244,4.131790828704834,-0.30783658623695376,-0.6467629909515381,-0.31126668453216555,,0.9620221495628357,
E5,6,0.16012302115559574,4.876982498168945,4.078929233551025,-0.36474020779132843,-0.593812620639801,-0.3693175584077835,,0.8955264210700988,
E5,7,0.09048116542398925,4.979940605163574,4.157597780227661,-0.34441489875316617,-0.6064378142356872,-0.3478324621915817,,0.949044144153595,
E5,8,0.16825284138321872,4.972293853759766,4.13911247253418,-0.3746859312057495,-0.6013406038284301,-0.37609986066818235,,0.9165874719619751,
