method,target,seed,fold,split_id,n_train,n_val,n_test,best_lambda1,best_lambda2,best_lambda3,runtime_seconds,pearson,rmse,mae,jaccard
no_prior_ridge,fluid_intelligence,2,2,seed02_fold02,280.0,50.0,82.0,0.0,0.0,0.0,5.041030645370483,0.3645295342049934,4.533460098914958,3.643775801695816,
no_prior_ridge,working_memory,2,2,seed02_fold02,280.0,50.0,82.0,0.0,0.0,0.0,5.0410356521606445,0.1758477657078989,11.454277377163876,9.066803340696447,
mt_ncr_independent,fluid_intelligence,2,3,seed02_fold03,280.0,50.0,82.0,0.0,0.0,0.0,53.19602560997009,0.4798086825361736,4.512212922986446,3.7246188562810887,
mt_ncr_independent,working_memory,2,3,seed02_fold03,280.0,50.0,82.0,0.0,0.0,0.0,53.1960289478302,0.2864445892038001,11.348387633266016,9.570316001062196,
mt_ncr_independent,jaccard_top10pct,2,3,seed02_fold03,,,,,,,,,,,0.1024793388429752
mt_ncr_joint_l21,fluid_intelligence,2,3,seed02_fold03,280.0,50.0,82.0,0.1,0.0,0.0,445.9171571731568,0.4665510023545618,4.487131045754122,3.653066105241882,
mt_ncr_joint_l21,working_memory,2,3,seed02_fold03,280.0,50.0,82.0,0.1,0.0,0.0,445.9173750877381,0.286443001074919,11.348399903758128,9.57032326543166,
mt_ncr_joint_l21,jaccard_top10pct,2,3,seed02_fold03,,,,,,,,,,,0.1401709401709401
no_prior_ridge,fluid_intelligence,2,3,seed02_fold03,280.0,50.0,82.0,0.0,0.0,0.0,21.57462501525879,0.479808682536174,4.512212922986445,3.7246188562810896,
no_prior_ridge,working_memory,2,3,seed02_fold03,280.0,50.0,82.0,0.0,0.0,0.0,21.57462906837464,0.2864445892037984,11.348387633266029,9.570316001062205,
mt_ncr_independent,fluid_intelligence,2,4,seed02_fold04,280.0,50.0,82.0,0.0,0.0,0.0,193.07009530067444,0.3136371880969701,4.617896551599729,3.97554291711899,
mt_ncr_independent,working_memory,2,4,seed02_fold04,280.0,50.0,82.0,0.0,0.0,0.0,193.0701141357422,0.1124852351863761,10.967470080631582,8.873165853502657,
mt_ncr_independent,jaccard_top10pct,2,4,seed02_fold04,,,,,,,,,,,0.1163179916317991
mt_ncr_joint_l21,fluid_intelligence,2,4,seed02_fold04,280.0,50.0,82.0,1.0,2.0,0.0,297.2545602321625,0.2992813514806134,4.636975845114028,4.0142390294559815,
mt_ncr_joint_l21,working_memory,2,4,seed02_fold04,280.0,50.0,82.0,1.0,2.0,0.0,297.2545645236969,0.1157191077119148,10.96710764151554,8.863956105038094,
mt_ncr_joint_l21,jaccard_top10pct,2,4,seed02_fold04,,,,,,,,,,,0.1276415891800507
no_prior_ridge,fluid_intelligence,2,4,seed02_fold04,280.0,50.0,82.0,0.0,0.0,0.0,7.772603511810303,0.3136371880969706,4.617896551599728,3.9755429171189887,
no_prior_ridge,working_memory,2,4,seed02_fold04,280.0,50.0,82.0,0.0,0.0,0.0,7.772607803344727,0.1264601107652671,10.96606594616192,8.826353604352276,
mt_ncr_independent,fluid_intelligence,3,0,seed03_fold00,279.0,50.0,83.0,0.0,0.0,0.0,67.487051486969,0.2249967368048685,4.940319677082757,4.217580651578405,
mt_ncr_independent,working_memory,3,0,seed03_fold00,279.0,50.0,83.0,0.0,0.0,0.0,67.48705577850342,0.3624978433113669,9.15770203995589,7.781744847528394,
mt_ncr_independent,jaccard_top10pct,3,0,seed03_fold00,,,,,,,,,,,0.0845528455284552
mt_ncr_joint_l21,fluid_intelligence,3,0,seed03_fold00,279.0,50.0,83.0,1.0,0.0,0.0,200.661452293396,0.2511090748559832,4.727666279291414,4.130073844806912,
mt_ncr_joint_l21,working_memory,3,0,seed03_fold00,279.0,50.0,83.0,1.0,0.0,0.0,200.66146636009216,0.3633446316418118,9.149479442703212,7.794328174955745,
mt_ncr_joint_l21,jaccard_top10pct,3,0,seed03_fold00,,,,,,,,,,,0.15
no_prior_ridge,fluid_intelligence,3,0,seed03_fold00,279.0,50.0,83.0,0.0,0.0,0.0,5.216948747634888,0.2249967368048689,4.940319677082755,4.2175806515784044,
no_prior_ridge,working_memory,3,0,seed03_fold00,279.0,50.0,83.0,0.0,0.0,0.0,5.216959238052368,0.3633435907362233,9.14948323881728,7.79433162064779,
mt_ncr_independent,fluid_intelligence,3,1,seed03_fold01,279.0,50.0,83.0,0.0,0.0,0.0,58.83205032348633,0.3070593182856042,4.713805597591053,3.8708411836643415,
mt_ncr_independent,working_memory,3,1,seed03_fold01,279.0,50.0,83.0,0.0,0.0,0.0,58.83205676078797,0.1971405825594384,12.576764713862207,10.880894286597623,
mt_ncr_independent,jaccard_top10pct,3,1,seed03_fold01,,,,,,,,,,,0.080161943319838
mt_ncr_joint_l21,fluid_intelligence,3,1,seed03_fold01,279.0,50.0,83.0,1.0,0.0,0.0,186.97577691078183,0.3758094696320066,4.413931466533968,3.616744705189188,
mt_ncr_joint_l21,working_memory,3,1,seed03_fold01,279.0,50.0,83.0,1.0,0.0,0.0,186.9757814407349,0.2343843469080961,12.140801105994449,10.517686936786315,
mt_ncr_joint_l21,jaccard_top10pct,3,1,seed03_fold01,,,,,,,,,,,0.1815766164747564
no_prior_ridge,fluid_intelligence,3,1,seed03_fold01,279.0,50.0,83.0,0.0,0.0,0.0,4.346743106842041,0.3070593182856038,4.713805597591053,3.8708411836643415,
no_prior_ridge,working_memory,3,1,seed03_fold01,279.0,50.0,83.0,0.0,0.0,0.0,4.346746444702148,0.1971405825594374,12.576764713862216,10.880894286597623,
mt_ncr_independent,fluid_intelligence,3,2,seed03_fold02,280.0,50.0,82.0,0.0,0.0,0.0,55.75042605400085,0.3533158968108919,4.646358411384974,3.989586878975021,
mt_ncr_independent,working_memory,3,2,seed03_fold02,280.0,50.0,82.0,0.0,0.0,0.0,55.75042891502381,0.1127128797912543,12.922542650521969,10.105196704654029,
mt_ncr_independent,jaccard_top10pct,3,2,seed03_fold02,,,,,,,,,,,0.1033912324234904
mt_ncr_joint_l21,fluid_intelligence,3,2,seed03_fold02,280.0,50.0,82.0,0.1,0.0,0.0,193.2620038986206,0.4162032323854716,4.422966703902882,3.5828972590451817,
mt_ncr_joint_l21,working_memory,3,2,seed03_fold02,280.0,50.0,82.0,0.1,0.0,0.0,193.26200771331787,0.1143504157851054,12.631725974505333,9.886067215344374,
mt_ncr_joint_l21,jaccard_top10pct,3,2,seed03_fold02,,,,,,,,,,,0.1794871794871795
no_prior_ridge,fluid_intelligence,3,2,seed03_fold02,280.0,50.0,82.0,0.0,0.0,0.0,4.6844916343688965,0.3533158968108916,4.646358411384975,3.989586878975021,
no_prior_ridge,working_memory,3,2,seed03_fold02,280.0,50.0,82.0,0.0,0.0,0.0,4.684494495391846,0.112712879791254,12.92254265052198,10.105196704654032,
mt_ncr_independent,fluid_intelligence,3,3,seed03_fold03,280.0,50.0,82.0,0.0,0.0,0.0,52.11485552787781,0.478021506034021,4.604790710909766,3.892898409644399,
mt_ncr_independent,working_memory,3,3,seed03_fold03,280.0,50.0,82.0,0.0,0.0,0.0,52.11485838890076,0.4021664562314098,10.989509125175818,8.819203571625179,
