method_id,method_name,method_family,seed,fold,split_id,n_train,n_val,n_test,best_alpha,best_gamma,best_kernel,gate_mode,best_val_rmse,parameters,runtime_seconds,device,group_aware,pearson,rmse,mae,prior_alignment_pearson,prior_alignment_spearman,prior_alignment_top10_jaccard
M3_E0,Two-Stage Biomarker-Guided KRR (no-prior biomarker),two_stage_kernel_ridge,2,2,seed02_fold02,280,50,82,0.01,1e-05,rbf,product,4.110533413595447,331,0.6547129154205322,cuda,False,0.3588824489262088,4.966390962820812,4.104668414907006,-0.5218090881093249,-0.5248911599837948,0.0
M3_TRUE,Two-Stage Biomarker-Guided KRR (true edge-prior biomarker),two_stage_kernel_ridge,2,2,seed02_fold02,280,50,82,0.01,0.0001,rbf,product,3.964620920723901,331,0.654329776763916,cuda,False,0.20335727342480936,5.453074766349343,4.516575875566852,0.7341368084891673,0.6711573207366313,0.5384615384615384
M3_SHUFFLED,Two-Stage Biomarker-Guided KRR (shuffled edge-prior biomarker),two_stage_kernel_ridge,2,2,seed02_fold02,280,50,82,0.01,1e-05,rbf,product,4.043599494220133,331,0.8412802219390869,cuda,False,0.3625481797021076,4.951573815998553,4.100276411855222,-0.5000181983999928,-0.5125757969540046,0.0
M3_RANDOM,Two-Stage Biomarker-Guided KRR (random edge-prior biomarker),two_stage_kernel_ridge,2,2,seed02_fold02,280,50,82,0.01,0.0001,rbf,product,4.114974138918853,331,0.6626448631286621,cuda,False,0.2652493003144777,5.187887795219595,4.240350665653367,-0.05274030504828567,-0.08518375798829327,0.0
M3_E0,Two-Stage Biomarker-Guided KRR (no-prior biomarker),two_stage_kernel_ridge,2,3,seed02_fold03,280,50,82,10.0,0.0001,rbf,product,4.724695515373921,331,0.6734814643859863,cuda,False,0.31856640991052,4.634404330278259,3.9623652428320497,-0.45669051919598,-0.48754055167081795,0.0
M3_TRUE,Two-Stage Biomarker-Guided KRR (true edge-prior biomarker),two_stage_kernel_ridge,2,3,seed02_fold03,280,50,82,100.0,0.001,rbf,product,4.731742367577487,331,0.6843459606170654,cuda,False,0.1916078994686104,4.696710266297389,4.031474051006937,0.7670086069064648,0.6955033851203405,0.42857142857142855
M3_SHUFFLED,Two-Stage Biomarker-Guided KRR (shuffled edge-prior biomarker),two_stage_kernel_ridge,2,3,seed02_fold03,280,50,82,1.0,1e-05,rbf,product,4.724904966650411,331,0.680293083190918,cuda,False,0.3742871408991122,4.626019416937236,3.9630848689208844,-0.4609686254486136,-0.4683233915172767,0.0
M3_RANDOM,Two-Stage Biomarker-Guided KRR (random edge-prior biomarker),two_stage_kernel_ridge,2,3,seed02_fold03,280,50,82,1.0,0.0001,rbf,product,4.718133590830314,331,0.7874476909637451,cuda,False,0.35450872317184423,4.564423995729264,3.908513882826102,-0.04628059896042323,-0.0307534491230527,0.05263157894736842
M3_E0,Two-Stage Biomarker-Guided KRR (no-prior biomarker),two_stage_kernel_ridge,2,4,seed02_fold04,280,50,82,0.01,0.0001,rbf,product,4.622072325817146,331,0.6784489154815674,cuda,False,0.3457191411106864,4.5752711595631,3.639016833917068,-0.5503752585716896,-0.5516193931287408,0.0
M3_TRUE,Two-Stage Biomarker-Guided KRR (true edge-prior biomarker),two_stage_kernel_ridge,2,4,seed02_fold04,280,50,82,0.1,1e-05,rbf,product,4.906595785394009,331,0.6629543304443359,cuda,False,0.294597443417671,4.595543382159277,3.794168898718168,0.7402389523370584,0.6841768468593656,0.42857142857142855
