target,prior_type,lifting,modality,residual_pearson,seed,fold
fluid_intelligence,unrelated,max,FC,-0.024702680659543383,1,4
fluid_intelligence,unrelated,max,SC,0.014347026951293109,1,4
fluid_intelligence,unrelated,bridge,FC,-0.04505129977138373,1,4
fluid_intelligence,unrelated,bridge,SC,0.021679838832168175,1,4
fluid_intelligence,shuffled,prod,FC,-0.04068584076508587,1,4
fluid_intelligence,shuffled,prod,SC,-0.02879636840404048,1,4
fluid_intelligence,shuffled,mean,FC,-0.04778847392739989,1,4
fluid_intelligence,shuffled,mean,SC,-0.04331689946391011,1,4
fluid_intelligence,shuffled,max,FC,-0.051669017481876994,1,4
fluid_intelligence,shuffled,max,SC,-0.03915145123108976,1,4
fluid_intelligence,shuffled,bridge,FC,-0.03164487243790812,1,4
fluid_intelligence,shuffled,bridge,SC,-0.0404634328909565,1,4
fluid_intelligence,random,prod,FC,-0.05385892398662559,1,4
fluid_intelligence,random,prod,SC,-0.0013529388808283787,1,4
fluid_intelligence,random,mean,FC,-0.05442891646195949,1,4
fluid_intelligence,random,mean,SC,0.0005777393874250936,1,4
fluid_intelligence,random,max,FC,-0.03132989988296647,1,4
fluid_intelligence,random,max,SC,0.006693974438890816,1,4
fluid_intelligence,random,bridge,FC,0.005805462461187948,1,4
fluid_intelligence,random,bridge,SC,0.004790426043648588,1,4
fluid_intelligence,matched,prod,FC,0.006225295196865789,2,0
fluid_intelligence,matched,prod,SC,0.008912202526728245,2,0
fluid_intelligence,matched,mean,FC,-0.006385436808209622,2,0
fluid_intelligence,matched,mean,SC,0.0019457771039431467,2,0
fluid_intelligence,matched,max,FC,-0.005574148371788153,2,0
fluid_intelligence,matched,max,SC,-0.0034658905178808165,2,0
fluid_intelligence,matched,bridge,FC,-0.021224309833663267,2,0
fluid_intelligence,matched,bridge,SC,-0.009286008825887818,2,0
fluid_intelligence,unrelated,prod,FC,0.0018669898347761743,2,0
fluid_intelligence,unrelated,prod,SC,-0.01639179523166177,2,0
fluid_intelligence,unrelated,mean,FC,-0.03525307134219987,2,0
fluid_intelligence,unrelated,mean,SC,-0.007156853391644569,2,0
fluid_intelligence,unrelated,max,FC,-0.04064264968913785,2,0
fluid_intelligence,unrelated,max,SC,0.007311010682723576,2,0
fluid_intelligence,unrelated,bridge,FC,-0.06634128046452734,2,0
fluid_intelligence,unrelated,bridge,SC,0.007806199765991471,2,0
fluid_intelligence,shuffled,prod,FC,-0.044168543181800315,2,0
fluid_intelligence,shuffled,prod,SC,-0.012788428760597714,2,0
fluid_intelligence,shuffled,mean,FC,-0.05005131849092352,2,0
fluid_intelligence,shuffled,mean,SC,-0.02181230229219129,2,0
fluid_intelligence,shuffled,max,FC,-0.047192091331584224,2,0
fluid_intelligence,shuffled,max,SC,-0.019090064263677747,2,0
fluid_intelligence,shuffled,bridge,FC,-0.030875296299290846,2,0
fluid_intelligence,shuffled,bridge,SC,-0.022870584693225282,2,0
fluid_intelligence,random,prod,FC,0.010645217722075493,2,0
fluid_intelligence,random,prod,SC,-0.000550284266551192,2,0
fluid_intelligence,random,mean,FC,0.00854124026422606,2,0
