method_id,method_name,method_family,seed,fold,split_id,n_train,n_val,n_test,best_alpha1,best_alpha2,best_val_rmse,runtime_seconds,group_aware,pearson,rmse,mae,prior_alignment_pearson,prior_alignment_spearman,prior_alignment_top10_jaccard
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,network_constrained_ridge,4,0,seed04_fold00,279,50,83,0.01,10.0,4.237537015146759,9.396175146102905,False,0.14708158067151084,5.318961262197369,4.504464530585901,-0.9656524969435885,-0.7431118018936536,0.0
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,network_constrained_ridge,4,0,seed04_fold00,279,50,83,0.01,0.0,4.415440749580898,9.60611891746521,False,0.18227631150269025,5.113406261891972,4.291009096852939,-0.08795026917899999,-0.0683687428539447,0.05263157894736842
NCR_RANDOM,Random-prior Network-Constrained Ridge,network_constrained_ridge,4,0,seed04_fold00,279,50,83,0.1,0.5,4.412403323025143,8.925012826919556,False,0.19530993981309205,5.011579205691185,4.2257248707162995,-0.7342493396992303,-0.6283396763156883,0.0
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,network_constrained_ridge,4,1,seed04_fold01,279,50,83,0.1,0.0,4.26876212849459,8.792023420333862,False,0.3779028966817543,4.4667527536330915,3.7841418128293083,-0.08665096725625726,-0.07769266125484424,0.0
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,network_constrained_ridge,4,1,seed04_fold01,279,50,83,0.1,0.5,4.218824549319423,8.688076496124268,False,0.3586221975474142,4.517319260434004,3.884047728393904,-0.9521769197175511,-0.7414837368702507,0.0
NCR_RANDOM,Random-prior Network-Constrained Ridge,network_constrained_ridge,4,1,seed04_fold01,279,50,83,0.1,10.0,4.243629130013964,8.385289907455444,False,0.28734199204301275,4.66769885027471,3.901459362165206,-0.7625613380656884,-0.6040595087071848,0.0
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,network_constrained_ridge,4,2,seed04_fold02,280,50,82,0.1,10.0,4.079823854328482,9.141865015029907,False,0.47096224185335855,4.6238023154275165,3.866732381181517,-0.9644646186366177,-0.7454989647193794,0.0
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,network_constrained_ridge,4,2,seed04_fold02,280,50,82,1.0,0.0,4.12848681190486,9.073376655578613,False,0.48050158121605235,4.684735684620188,3.9210453327583834,-0.11116788754207604,-0.06329976739764419,0.0
NCR_RANDOM,Random-prior Network-Constrained Ridge,network_constrained_ridge,4,2,seed04_fold02,280,50,82,0.1,0.5,4.124365301012072,8.867492437362671,False,0.5285223201020408,4.449661588245848,3.6952280634313013,-0.73430958368176,-0.6031599584822973,0.0
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,network_constrained_ridge,4,3,seed04_fold03,280,50,82,0.1,0.0,4.794107188229516,9.168941020965576,False,0.37607792977465765,4.659658639509375,3.7992382755508762,-0.00677191521665727,0.008135331052525632,0.0
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,network_constrained_ridge,4,3,seed04_fold03,280,50,82,0.01,0.5,4.636869775382987,8.926408529281616,False,0.3480808873968465,4.855944496859189,3.7927451752031045,-0.9661904280526422,-0.7439508047278,0.0
NCR_RANDOM,Random-prior Network-Constrained Ridge,network_constrained_ridge,4,3,seed04_fold03,280,50,82,0.1,0.0,4.794107188229496,8.721625566482544,False,0.3760779297746576,4.659658639509374,3.7992382755508753,0.00970192688984562,0.056364125629492945,0.05263157894736842
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,network_constrained_ridge,4,4,seed04_fold04,280,50,82,0.1,10.0,4.544411131564473,9.898741245269775,False,0.30957723850873553,4.461606045599856,3.6518390776541363,-0.9583940633174451,-0.7398656599758255,0.0
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,network_constrained_ridge,4,4,seed04_fold04,280,50,82,0.01,10.0,4.236752723951831,9.803985357284546,False,0.20604356578818564,4.7894708956234435,3.9465347025189197,-0.969720117466339,-0.7448497363358138,0.0
NCR_RANDOM,Random-prior Network-Constrained Ridge,network_constrained_ridge,4,4,seed04_fold04,280,50,82,0.1,0.0,4.6160807801558805,9.035212755203247,False,0.3048414337655575,4.477200075988701,3.6576963613832647,-0.055205181392107144,-0.008611079075846692,0.05263157894736842
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,network_constrained_ridge,5,0,seed05_fold00,279,50,83,1.0,0.5,4.693576130177002,8.935072660446167,False,0.3917804821866505,4.423556562015041,3.594660816388987,-0.6189695531272436,-0.6670721759846571,0.0
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,network_constrained_ridge,5,0,seed05_fold00,279,50,83,1.0,5.0,4.686646771519823,10.089866161346436,False,0.38232569735672534,4.452883235711777,3.6356302396221847,-0.9112700827285398,-0.743331540731168,0.0
NCR_RANDOM,Random-prior Network-Constrained Ridge,network_constrained_ridge,5,0,seed05_fold00,279,50,83,1.0,0.0,4.695439159631653,12.848106622695923,False,0.3885542230447089,4.4226337784496375,3.600151545697337,-0.015735453127907917,0.10999884673048092,0.17647058823529413
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,network_constrained_ridge,5,1,seed05_fold01,279,50,83,1.0,2.0,4.8326443165601844,7.3654255867004395,False,0.511779642401024,4.428971012659666,3.833821420704807,-0.8597683695197526,-0.7435412914397047,0.0
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,network_constrained_ridge,5,1,seed05_fold01,279,50,83,1.0,0.0,4.845038726142252,7.31579852104187,False,0.5286144174124195,4.371741119949692,3.7708588092522026,-0.10286136184928513,-0.07748790461079663,0.1111111111111111
NCR_RANDOM,Random-prior Network-Constrained Ridge,network_constrained_ridge,5,1,seed05_fold01,279,50,83,1.0,0.0,4.845038726142274,7.559132814407349,False,0.5286144174124203,4.371741119949691,3.7708588092522004,-0.13413411891539506,-0.09806635143966479,0.0
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,network_constrained_ridge,5,2,seed05_fold02,280,50,82,1.0,5.0,4.734773769523118,7.169939756393433,False,0.33215431519790134,4.5967936055614524,3.7860812162614415,-0.9146519459189132,-0.7444701874346523,0.0
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,network_constrained_ridge,5,2,seed05_fold02,280,50,82,1.0,10.0,4.772041787678111,6.984354734420776,False,0.31772980936067113,4.627314476927676,3.7991183571895033,-0.9412483017903795,-0.7447798194329683,0.0
NCR_RANDOM,Random-prior Network-Constrained Ridge,network_constrained_ridge,5,2,seed05_fold02,280,50,82,1.0,0.0,4.788745794927611,6.950054168701172,False,0.3457334102348708,4.573567947752588,3.7618079173208963,0.031046662292257957,0.06040825740975665,0.0
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,network_constrained_ridge,5,3,seed05_fold03,280,50,82,0.1,10.0,4.654961261503954,7.141849517822266,False,0.33360424176909664,4.59964448431504,3.814346911804931,-0.960571916355621,-0.7400054937815167,0.0
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,network_constrained_ridge,5,3,seed05_fold03,280,50,82,1.0,0.0,4.685885905893109,6.918563604354858,False,0.3069182080378232,4.561829464955893,3.861381319935217,-0.13097702007008827,-0.09725940592261308,0.0
NCR_RANDOM,Random-prior Network-Constrained Ridge,network_constrained_ridge,5,3,seed05_fold03,280,50,82,1.0,0.0,4.685885905893114,7.0058887004852295,False,0.3069182080378231,4.561829464955893,3.861381319935217,-0.03176757792799332,0.01685311190558567,0.1111111111111111
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,network_constrained_ridge,5,4,seed05_fold04,280,50,82,0.1,0.0,3.730123709845926,7.078433275222778,False,0.3135378047624076,4.8835827434995265,4.044756461468443,-0.085520568805038,-0.057496664461465695,0.0
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,network_constrained_ridge,5,4,seed05_fold04,280,50,82,0.1,0.0,3.7301237098459454,7.163113832473755,False,0.31353780476240656,4.883582743499528,4.044756461468446,-0.14390074693587632,-0.13927447046828415,0.05263157894736842
NCR_RANDOM,Random-prior Network-Constrained Ridge,network_constrained_ridge,5,4,seed05_fold04,280,50,82,0.1,0.5,3.699121554343964,6.840759754180908,False,0.2871786078308423,4.951686194593292,4.137071358967891,-0.7351654393773241,-0.6357821089455272,0.0
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,network_constrained_ridge,6,0,seed06_fold00,279,50,83,1.0,0.0,4.603636783235361,7.102030515670776,False,0.43992701084574887,4.325091935992131,3.535444108356747,-0.1194314162185511,-0.09699971456918684,0.0
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,network_constrained_ridge,6,0,seed06_fold00,279,50,83,1.0,0.0,4.603636783235356,7.299684047698975,False,0.4399270108457489,4.325091935992131,3.535444108356747,-0.10254539848318386,-0.08049932549764315,0.1111111111111111
NCR_RANDOM,Random-prior Network-Constrained Ridge,network_constrained_ridge,6,0,seed06_fold00,279,50,83,1.0,0.0,4.603636783235361,7.016876220703125,False,0.4399270108457496,4.3250919359921305,3.535444108356746,-0.11748375058843648,-0.054672663668165915,0.0
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,network_constrained_ridge,6,1,seed06_fold01,279,50,83,1.0,0.0,4.855868989709375,6.873419284820557,False,0.4676908921641154,4.576300190663079,3.889051552077016,0.004937959586900357,0.06861345201390404,0.0
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,network_constrained_ridge,6,1,seed06_fold01,279,50,83,1.0,10.0,4.820555807974358,7.055405139923096,False,0.46546839371885407,4.613756622568515,3.9343014385407113,-0.9474588357789074,-0.7494842281815742,0.0
NCR_RANDOM,Random-prior Network-Constrained Ridge,network_constrained_ridge,6,1,seed06_fold01,279,50,83,1.0,0.0,4.85586898970936,6.982489347457886,False,0.4676908921641164,4.576300190663077,3.8890515520770124,-0.038208001811583917,0.0388574943297582,0.0
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,network_constrained_ridge,6,2,seed06_fold02,280,50,82,0.1,0.0,4.558216644216995,6.882923126220703,False,0.45995521734899203,4.537210755507733,3.796353243784808,-0.013295420045229251,-0.011596217743379078,0.05263157894736842
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,network_constrained_ridge,6,2,seed06_fold02,280,50,82,0.1,10.0,4.429877963160751,7.288483381271362,False,0.4209494102901625,4.643200885833648,3.8388406425188046,-0.9724321871087759,-0.7454690003324455,0.0
NCR_RANDOM,Random-prior Network-Constrained Ridge,network_constrained_ridge,6,2,seed06_fold02,280,50,82,0.1,0.0,4.558216644217037,7.620962142944336,False,0.45995521734899275,4.537210755507731,3.7963532437848038,-0.08660776197280962,-0.03429823549763579,0.0
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,network_constrained_ridge,6,3,seed06_fold03,280,50,82,1.0,0.0,4.371202784675005,7.203455924987793,False,0.23478673022276833,4.443514364323821,3.742790973346673,-0.014040043106699552,0.016645216941723717,0.0
