target,prior_type,lifting,seed,fold,marginal_pearson,marginal_spearman,ridge_pearson,ridge_spearman,ridge_alpha,n_train,n_val,n_test
fluid_intelligence,shuffled,mean,1,4,-0.06663140363697861,-0.06065735988887041,0.018892294043399586,-0.013129079961649463,1000.0,280,50,82
fluid_intelligence,random,mean,1,4,-0.044702985683388964,-0.05008631581627766,0.015181272225869496,-0.011127513973597397,1000.0,280,50,82
fluid_intelligence,matched,max,1,4,0.007840317504573832,-0.002481385245672735,-0.029207479127608967,-0.03446999204904983,1000.0,280,50,82
fluid_intelligence,unrelated,max,1,4,0.0035229343467472803,-0.008029380050211457,-0.018768529844469667,-0.0533500510226957,1000.0,280,50,82
fluid_intelligence,shuffled,max,1,4,-0.06500796133581262,-0.058719910962809346,0.017817335389387158,-0.01152905678136896,1000.0,280,50,82
fluid_intelligence,random,max,1,4,-0.03313024490702997,-0.034996614848734245,0.01936941531540925,0.0014404592530609353,1000.0,280,50,82
fluid_intelligence,matched,bridge,1,4,0.0008889756474913152,-0.007814128988723757,-0.02917419402921239,-0.02435444433910214,1000.0,280,50,82
fluid_intelligence,unrelated,bridge,1,4,-0.0044482420969771015,-0.015838511497761134,-0.01822401310054508,-0.047998237714922384,1000.0,280,50,82
fluid_intelligence,shuffled,bridge,1,4,-0.051068072823322715,-0.047421080710901065,0.007426311389471555,-0.016658501252925586,1000.0,280,50,82
fluid_intelligence,random,bridge,1,4,-0.003930684351778099,-0.0010538569390971615,0.0025588215493257084,0.00367077994875325,1000.0,280,50,82
fluid_intelligence,matched,prod,2,0,0.023918139287268048,0.014194938207690345,-0.031477862463982174,-0.02740407416093778,1000.0,279,50,83
fluid_intelligence,unrelated,prod,2,0,0.038387113441163696,0.017058067506314355,-0.03455999209934811,-0.08800712803560293,1000.0,279,50,83
fluid_intelligence,shuffled,prod,2,0,-0.06629423124740944,-0.07946290788231783,0.036336655903069934,0.0012120496423287117,1000.0,279,50,83
fluid_intelligence,random,prod,2,0,-0.03257528696394742,-0.028130291395811604,0.0009821577525986188,-0.012284111067484902,1000.0,279,50,83
fluid_intelligence,matched,mean,2,0,0.02664125039010029,0.024139249006106804,-0.04079679477172422,-0.042570831703185597,1000.0,279,50,83
fluid_intelligence,unrelated,mean,2,0,0.04506940380177471,0.04085497457426382,-0.03621232381230274,-0.07948130774348564,1000.0,279,50,83
