edge_idx,roi_i,roi_j,lor_mean,lor_sd,delta_pmi,pmi_fluid,pmi_background
3956,41,103,1.1123111330262712,2.278129578503827e-16,5.512240969364435,3.594724301411182,-1.9175166679532534
3957,41,104,0.0,0.0,1.6321405483367488,0.0,-1.6321405483367488
3958,41,105,1.1123111330262712,2.278129578503827e-16,3.4422649935121687,2.497885196775928,-0.9443797967362405
3959,41,106,0.0,0.0,1.568792594486505,0.0,-1.568792594486505
3960,41,107,0.0,0.0,1.2898858073097483,0.0,-1.2898858073097483
3961,41,108,0.0,0.0,1.5171908325545542,0.0,-1.5171908325545542
3962,41,109,0.0,0.0,1.888781723879053,0.0,-1.888781723879053
3963,41,110,0.0,0.0,3.9179968380679933,0.0,-3.9179968380679933
3964,41,111,-0.05561555665131357,0.2487203305576555,3.099492540619716,0.0,-3.099492540619716
3965,41,112,1.1123111330262712,2.278129578503827e-16,6.718715514165496,3.594724301411182,-3.1239912127543144
3966,41,113,0.0,0.0,1.5922396028354648,0.0,-1.5922396028354648
3967,41,114,1.0566955763749575,0.2487203305576554,5.9184022670297525,2.902906714021749,-3.0154955530080034
3968,41,115,0.0,0.0,0.9353609373730374,0.0,-0.9353609373730374
3969,42,43,-0.22246222660525428,0.45648285730730587,1.527220381558142,0.0,-1.527220381558142
3970,42,44,-0.05561555665131357,0.2487203305576555,1.922242582415398,0.0,-1.922242582415398
3971,42,45,-0.05561555665131357,0.24872033055765547,-4.951110856438741,-6.334978721854718,-1.3838678654159764
3972,42,46,-0.05561555665131357,0.2487203305576555,2.6249443437463844,0.0,-2.6249443437463844
3973,42,47,-0.05561555665131357,0.2487203305576555,-2.6351911285003093,-5.239906526790975,-2.6047153982906655
3974,42,48,0.0,0.0,-2.5328338331999327,-5.930399812740331,-3.397565979540398
3975,42,49,-0.05561555665131357,0.24872033055765547,3.2931142619475233,0.0,-3.2931142619475233
3976,42,50,-0.05561555665131357,0.24872033055765544,4.485039105630986,0.0,-4.485039105630986
3977,42,51,0.0,0.0,-3.5461967434591055,-5.930399812740331,-2.384203069281225
3978,42,52,-0.11123111330262714,0.34236214298047934,-3.4050960276572293,-6.622217400129764,-3.2171213724725347
3979,42,53,-0.05561555665131357,0.2487203305576555,-1.982506167695889,-6.334978721854718,-4.352472554158829
3980,42,54,0.0,0.0,-0.44588207555959514,-5.239906526790975,-4.79402445123138
3981,42,55,0.0,0.0,-0.8020316477169933,-5.930399812740331,-5.128368165023337
3982,42,56,0.0,0.0,-0.43135650800225367,-5.239906526790975,-4.808550018788721
3983,42,57,-0.05561555665131357,0.24872033055765544,-2.4909308757536768,-5.239906526790975,-2.748975651037298
3984,42,58,-0.11123111330262714,0.34236214298047946,-2.848028286233575,-6.845094820540008,-3.997066534306433
3985,42,59,0.9454644630723305,0.4074924567896079,6.398025444176925,2.902906714021749,-3.4951187301551756
3986,42,60,1.001080019723644,0.34236214298047946,6.432861878837789,2.3438612933454057,-4.089000585492383
3987,42,61,0.0,0.0,-1.555213078166287,-6.334978721854718,-4.779765643688431
3988,42,62,-0.05561555665131357,0.2487203305576555,-2.9946618899217525,-5.930399812740331,-2.935737922818578
3989,42,63,0.0,0.0,-1.6024918977020945,-5.930399812740331,-4.327907915038236
3990,42,64,0.0,0.0,-3.1854377814682464,-6.845094820540008,-3.6596570390717615
3991,42,65,0.0,0.0,-2.868201465455565,-6.334978721854718,-3.4667772563991526
3992,42,66,-0.11123111330262714,0.34236214298047946,-3.5432443144762678,-5.930399812740331,-2.387155498264063
3993,42,67,-0.11123111330262714,0.34236214298047946,-4.087968518109459,-6.622217400129764,-2.5342488820203046
3994,42,68,0.0,0.0,-3.3999230556445665,-5.239906526790975,-1.839983471146408
3995,42,69,0.0,0.0,-4.476391297238745,-5.930399812740331,-1.4540085155015858
