set,study_id,n_peaks
background,19058792,21
background,19059586,39
background,19059978,36
background,19062135,126
background,19063872,88
background,19068489,49
background,19072896,16
background,19073160,13
background,19073624,25
background,19074015,35
background,19081708,16
background,19083992,28
background,19086020,27
background,19091969,10
background,19101025,21
background,19103254,13
background,19103296,44
background,19104833,12
background,19107748,19
background,19107750,4
background,19107752,5
background,19109495,5
background,19111290,6
background,19112507,74
background,19117278,69
background,19124032,27
background,19126572,22
background,19129391,21
background,19135155,35
background,19139856,32
background,19139866,16
background,19146963,56
background,19151375,18
background,19153150,36
background,19158297,60
background,19162200,30
background,19162389,97
background,19164537,18
background,19166947,23
background,19167506,102
background,19168663,59
background,19168666,87
background,19172654,24
background,19176279,39
background,19176280,79
background,19176814,19
background,19180558,14
background,19185468,20
background,19188005,31
background,19193886,25
background,19196494,10
background,19199406,20
background,19199412,26
background,19199416,16
background,19224116,31
background,19224619,12
background,19232481,6
background,19234068,32
background,19243925,36
background,19258375,14
background,19263420,7
background,19264142,14
background,19272364,48
background,19281849,7
background,19285143,24
background,19288462,41
background,19288464,23
background,19293245,37
background,19293396,3
background,19301993,71
background,19301995,159
background,19301997,44
background,19302005,13
background,19302160,20
background,19302165,26
background,19303934,25
background,19303937,6
background,19304914,7
background,19306848,6
background,19309291,22
background,19309293,5
background,19309321,92
background,19320550,14
background,19321652,3
background,19321789,16
background,19324533,51
background,19332139,3
background,19341805,21
background,19342124,45
background,19345269,5
background,19346000,43
background,19347874,42
background,19348727,32
background,19349235,44
background,19349243,31
background,19349245,21
background,19352638,17
background,19362298,54
background,19368816,61
background,19369489,11
background,19376237,11
background,19376241,86
background,19376244,27
background,19386635,112
background,19386910,42
background,19389870,27
background,19393717,9
background,19393745,12
background,19394205,38
background,19395524,58
background,19395526,100
background,19397862,45
background,19397867,53
background,19398013,2
background,19398308,45
background,19398537,92
background,19400677,28
background,19400681,64
background,19400684,85
background,19403118,28
background,19413478,16
background,19413945,1
background,19414052,34
background,19416812,69
background,19420090,55
background,19423680,38
background,19426813,102
background,19427522,168
background,19427530,339
background,19427907,33
background,19428395,20
background,19428399,17
background,19428683,11
background,19429013,5
background,19429043,22
background,19429078,32
background,19429172,25
background,19429863,10
background,19433442,68
background,19433790,44
background,19434601,30
background,19439585,6
background,19439588,8
background,19442751,19
background,19445604,48
background,19445606,65
background,19446638,25
background,19446795,24
background,19446799,15
background,19449155,2
background,19449330,15
background,19450657,2
background,19450695,64
background,19453626,10
background,19453637,40
background,19455411,20
background,19457372,10
background,19457388,12
background,19457391,12
background,19458220,13
background,19462002,11
background,19463891,17
background,19467359,118
background,19471910,53
background,19478033,173
